id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR16048087,"revseq_run_m2-SrqwxQ_20251219120838971387","NextSeq 500",2025-12-19T12:09:41,2025-12-19T12:24:20,SUPPRESSED,Webin-65854,ERP167225,ERX15438795,ERS28365868
ERR16048086,"revseq_run_m2-Kg3Fdm_20251219120839022955","NextSeq 500",2025-12-19T12:09:29,2025-12-19T12:24:15,SUPPRESSED,Webin-65854,ERP167225,ERX15438794,ERS28365867
ERR16048084,"revseq_run_m2-mzMRtV_20251219120839068815","NextSeq 500",2025-12-19T12:09:17,2025-12-19T12:24:10,PUBLIC,Webin-65854,ERP167225,ERX15438792,ERS28365866
ERR16048083,"revseq_run_m2-wfEdma_20251219120839112771","NextSeq 500",2025-12-19T12:09:10,2025-12-19T12:24:04,PUBLIC,Webin-65854,ERP167225,ERX15438791,ERS28365865
ERR16048081,"revseq_run_m2-NDEjHn_20251219120839157030","NextSeq 500",2025-12-19T12:09:02,2025-12-19T12:23:59,PUBLIC,Webin-65854,ERP167225,ERX15438789,ERS28365864
ERR16048080,"revseq_run_m2-4L3pXZ_20251219120839202654","NextSeq 500",2025-12-19T12:08:52,2025-12-19T12:23:54,PUBLIC,Webin-65854,ERP167225,ERX15438788,ERS28365863
ERR16047228,"revseq_run_m2-F2HifQ_20251219105943920614","NextSeq 500",2025-12-19T10:59:57,2025-12-19T12:23:49,PUBLIC,Webin-65854,ERP167225,ERX15437942,ERS28365558
ERR16047227,"revseq_run_m2-9eyPAv_20251219105943975130","NextSeq 500",2025-12-19T10:59:46,2025-12-19T12:40:08,PUBLIC,Webin-65854,ERP167225,ERX15437941,ERS28365557
ERR16047151,"revseq_run_m2-NmHGDa_20251219103916912233","NextSeq 500",2025-12-19T10:41:18,2025-12-19T12:40:35,PUBLIC,Webin-65854,ERP167225,ERX15437865,ERS28365554
ERR16047150,"revseq_run_m2-HXHQAT_20251219103916966071","NextSeq 500",2025-12-19T10:41:09,2025-12-19T12:40:34,PUBLIC,Webin-65854,ERP167225,ERX15437864,ERS28365553
ERR16047148,"revseq_run_m2-gnDemF_20251219103917020095","NextSeq 500",2025-12-19T10:41:00,2025-12-19T12:40:33,PUBLIC,Webin-65854,ERP167225,ERX15437862,ERS28365552
ERR16047147,"revseq_run_m2-u89dBs_20251219103917070079","NextSeq 500",2025-12-19T10:40:53,2025-12-19T12:40:04,PUBLIC,Webin-65854,ERP167225,ERX15437861,ERS28365551
ERR16047144,"revseq_run_m2-3oZJ5x_20251219103917117074","NextSeq 500",2025-12-19T10:40:40,2025-12-19T12:40:21,PUBLIC,Webin-65854,ERP167225,ERX15437858,ERS28365550
ERR16047142,"revseq_run_m2-43Vmvj_20251219103917162544","NextSeq 500",2025-12-19T10:40:27,2025-12-19T12:40:24,PUBLIC,Webin-65854,ERP167225,ERX15437856,ERS28365549
ERR16047140,"revseq_run_m2-zwqknf_20251219103917208749","NextSeq 500",2025-12-19T10:40:12,2025-12-19T12:40:09,PUBLIC,Webin-65854,ERP167225,ERX15437854,ERS28365548
ERR16047139,"revseq_run_m2-w9v3Qv_20251219103917258563","NextSeq 500",2025-12-19T10:40:04,2025-12-19T12:40:06,PUBLIC,Webin-65854,ERP167225,ERX15437853,ERS28365547
ERR16047137,"revseq_run_m2-EJ7fEz_20251219103917307554","NextSeq 500",2025-12-19T10:39:56,2025-12-19T12:40:08,PUBLIC,Webin-65854,ERP167225,ERX15437851,ERS28365546
ERR16047136,"revseq_run_m2-Y4rZ7q_20251219103917353824","NextSeq 500",2025-12-19T10:39:49,2025-12-19T12:40:06,PUBLIC,Webin-65854,ERP167225,ERX15437850,ERS28365545
ERR16047135,"revseq_run_m2-XHdiUs_20251219103917799623","NextSeq 500",2025-12-19T10:39:42,2025-12-19T12:40:21,PUBLIC,Webin-65854,ERP167225,ERX15437849,ERS28365544
ERR16047133,"revseq_run_m2-GRjNzo_20251219103917846101","NextSeq 500",2025-12-19T10:39:34,2025-12-19T12:40:06,PUBLIC,Webin-65854,ERP167225,ERX15437847,ERS28365543
ERR16047132,"revseq_run_m2-Dq37e8_20251219103917893479","NextSeq 500",2025-12-19T10:39:25,2025-12-19T12:40:16,PUBLIC,Webin-65854,ERP167225,ERX15437846,ERS28365542
ERR15991373,"revseq_run_m2-fhoncL_20251203113917107367","NextSeq 500",2025-12-03T11:57:01,2025-12-03T12:32:48,PUBLIC,Webin-65854,ERP167225,ERX15386479,ERS28304320
ERR15991372,"revseq_run_m2-h2ZJd5_20251203113917152617","NextSeq 500",2025-12-03T11:56:54,2025-12-03T12:32:43,PUBLIC,Webin-65854,ERP167225,ERX15386478,ERS28304319
ERR15991371,"revseq_run_m2-SpXNmN_20251203113917200306","NextSeq 500",2025-12-03T11:56:46,2025-12-03T12:32:38,PUBLIC,Webin-65854,ERP167225,ERX15386477,ERS28304318
ERR15991370,"revseq_run_m2-K2udH5_20251203113917245084","NextSeq 500",2025-12-03T11:56:37,2025-12-03T12:32:32,PUBLIC,Webin-65854,ERP167225,ERX15386476,ERS28304317
ERR15991369,"revseq_run_m2-4t7Ncr_20251203113917290319","NextSeq 500",2025-12-03T11:56:30,2025-12-03T12:32:27,PUBLIC,Webin-65854,ERP167225,ERX15386475,ERS28304316
ERR15991368,"revseq_run_m2-hzNQRG_20251203113917336633","NextSeq 500",2025-12-03T11:56:23,2025-12-03T12:32:22,PUBLIC,Webin-65854,ERP167225,ERX15386474,ERS28304315
ERR15991367,"revseq_run_m2-uTpHe5_20251203113917379869","NextSeq 500",2025-12-03T11:56:15,2025-12-03T12:32:17,PUBLIC,Webin-65854,ERP167225,ERX15386473,ERS28304314
ERR15991365,"revseq_run_m2-BnbHLr_20251203113917427141","NextSeq 500",2025-12-03T11:56:02,2025-12-03T12:32:12,PUBLIC,Webin-65854,ERP167225,ERX15386471,ERS28304313
ERR15991364,"revseq_run_m2-LosGHn_20251203113917483100","NextSeq 500",2025-12-03T11:55:55,2025-12-03T12:32:07,PUBLIC,Webin-65854,ERP167225,ERX15386470,ERS28304312
ERR15991363,"revseq_run_m2-LCBdav_20251203113917530220","NextSeq 500",2025-12-03T11:55:48,2025-12-03T12:32:01,PUBLIC,Webin-65854,ERP167225,ERX15386469,ERS28304311
ERR15991362,"revseq_run_m2-sr4bvM_20251203113917578394","NextSeq 500",2025-12-03T11:55:40,2025-12-03T16:04:59,PUBLIC,Webin-65854,ERP167225,ERX15386468,ERS28304310
