sample	lane
SHPGFH4QJ5FAZEVOUAVZBGMYDU	L004
SHPGFH4QJ5FAZEVOUAVZBGMYDU	L001
SHPGFH4QJ5FAZEVOUAVZBGMYDU	L003
SHPGFH4QJ5FAZEVOUAVZBGMYDU	L002
T2DWLJHABBBBTP4WKHUXF5Y35I	L004
T2DWLJHABBBBTP4WKHUXF5Y35I	L001
T2DWLJHABBBBTP4WKHUXF5Y35I	L003
T2DWLJHABBBBTP4WKHUXF5Y35I	L002
S5GTR4UIYZB5DIFVDIZPRQKSMU	L004
S5GTR4UIYZB5DIFVDIZPRQKSMU	L001
S5GTR4UIYZB5DIFVDIZPRQKSMU	L003
S5GTR4UIYZB5DIFVDIZPRQKSMU	L002
4ZJE2RZDTVBZBGLCFEEXXRQFOU	L004
4ZJE2RZDTVBZBGLCFEEXXRQFOU	L001
4ZJE2RZDTVBZBGLCFEEXXRQFOU	L003
4ZJE2RZDTVBZBGLCFEEXXRQFOU	L002
NQVLXZ2POJEUNIZCWZOKP4XUIM	L004
NQVLXZ2POJEUNIZCWZOKP4XUIM	L001
NQVLXZ2POJEUNIZCWZOKP4XUIM	L003
NQVLXZ2POJEUNIZCWZOKP4XUIM	L002
JCE43K7A2VFV7EWB56AE7SHTRI	L004
JCE43K7A2VFV7EWB56AE7SHTRI	L001
JCE43K7A2VFV7EWB56AE7SHTRI	L003
JCE43K7A2VFV7EWB56AE7SHTRI	L002
UKWNAO64KNFPVPNIZBLLGO2NR4	L004
UKWNAO64KNFPVPNIZBLLGO2NR4	L001
UKWNAO64KNFPVPNIZBLLGO2NR4	L003
UKWNAO64KNFPVPNIZBLLGO2NR4	L002
NSG2XX3G4BENLOIJRADIV6PRYA	L004
NSG2XX3G4BENLOIJRADIV6PRYA	L001
NSG2XX3G4BENLOIJRADIV6PRYA	L003
NSG2XX3G4BENLOIJRADIV6PRYA	L002
YEZ6EC4HUBBHVOS3OFKPJKHW34	L004
YEZ6EC4HUBBHVOS3OFKPJKHW34	L001
YEZ6EC4HUBBHVOS3OFKPJKHW34	L003
YEZ6EC4HUBBHVOS3OFKPJKHW34	L002
J7I42S5TRJAJ3EMEBH4KUKVPVI	L004
J7I42S5TRJAJ3EMEBH4KUKVPVI	L001
J7I42S5TRJAJ3EMEBH4KUKVPVI	L003
J7I42S5TRJAJ3EMEBH4KUKVPVI	L002
AZWLAI4Y4BEJ5HG4YOJLWSRSUM	L004
AZWLAI4Y4BEJ5HG4YOJLWSRSUM	L001
AZWLAI4Y4BEJ5HG4YOJLWSRSUM	L003
AZWLAI4Y4BEJ5HG4YOJLWSRSUM	L002
XIANCUAS5VFE7CTXWATKZ6LJJU	L004
XIANCUAS5VFE7CTXWATKZ6LJJU	L001
XIANCUAS5VFE7CTXWATKZ6LJJU	L003
XIANCUAS5VFE7CTXWATKZ6LJJU	L002
BNPF3HZZ2JCIFHRRQSNMV673F4	L004
BNPF3HZZ2JCIFHRRQSNMV673F4	L001
BNPF3HZZ2JCIFHRRQSNMV673F4	L003
BNPF3HZZ2JCIFHRRQSNMV673F4	L002
RHI3S2XU5RANZLVK2LXSDQQXH4	L004
RHI3S2XU5RANZLVK2LXSDQQXH4	L001
RHI3S2XU5RANZLVK2LXSDQQXH4	L003
RHI3S2XU5RANZLVK2LXSDQQXH4	L002
U5VYOBG565D25KMA6LUDQU3VSA	L004
U5VYOBG565D25KMA6LUDQU3VSA	L001
U5VYOBG565D25KMA6LUDQU3VSA	L003
U5VYOBG565D25KMA6LUDQU3VSA	L002
RALN4YOUUFATDL4UQISP674DMQ	L004
RALN4YOUUFATDL4UQISP674DMQ	L001
RALN4YOUUFATDL4UQISP674DMQ	L003
RALN4YOUUFATDL4UQISP674DMQ	L002
FZUBUCUEXFHPZGH4WODV5H4CD4	L004
FZUBUCUEXFHPZGH4WODV5H4CD4	L001
FZUBUCUEXFHPZGH4WODV5H4CD4	L003
FZUBUCUEXFHPZGH4WODV5H4CD4	L002
F4QHLVSARRFSVF4RYPGVBRM56Q	L004
F4QHLVSARRFSVF4RYPGVBRM56Q	L001
F4QHLVSARRFSVF4RYPGVBRM56Q	L003
F4QHLVSARRFSVF4RYPGVBRM56Q	L002
K7LVTYEWDJBVFNUAT25VVSVPIA	L004
K7LVTYEWDJBVFNUAT25VVSVPIA	L001
K7LVTYEWDJBVFNUAT25VVSVPIA	L003
K7LVTYEWDJBVFNUAT25VVSVPIA	L002
2ZAD4BOVAFC3ROX5C6XS3DL4CA	L004
2ZAD4BOVAFC3ROX5C6XS3DL4CA	L001
2ZAD4BOVAFC3ROX5C6XS3DL4CA	L003
2ZAD4BOVAFC3ROX5C6XS3DL4CA	L002
OO2UJPQKSJCTFCTAOOSTZVI43M	L004
OO2UJPQKSJCTFCTAOOSTZVI43M	L001
OO2UJPQKSJCTFCTAOOSTZVI43M	L003
OO2UJPQKSJCTFCTAOOSTZVI43M	L002
SFJ4IC4LCFAMJCUVUB4KZAREOM	L004
SFJ4IC4LCFAMJCUVUB4KZAREOM	L001
SFJ4IC4LCFAMJCUVUB4KZAREOM	L003
SFJ4IC4LCFAMJCUVUB4KZAREOM	L002
BIBU4HH4M5EAPG6HUFJA3AGLSI	L004
BIBU4HH4M5EAPG6HUFJA3AGLSI	L001
