panel_name,strain_name
resp31,coronavirus OC43
resp30,coronavirus NL63
resp29,coronavirus HKU1
resp28,coronavirus 229E
resp27,SARS-CoV-2
resp24,Adenovirus
resp16,Rhino- / Enterovirus
resp9,Metapneumovirus
resp8,Parainlfuenza 4
resp7,Influenza B
resp6,Influenza A
resp5,Parainlfuenza 3
resp4,Parainlfuenza 2
resp3,Parainlfuenza 1
resp1,RSV - A/B
flub4p,Influenza B
flua4p,Influenza A
rsv4p,RSV - A/B
wuhan0,SARS-CoV-2
rspc,RSV - A/B
flub,Influenza B
flua,Influenza A
,Bocavirus
,Parechiovirus
,Polyomavirus
