Escherichia phage F2,2696339,Escherichia phage F2
Escherichia phage T4,2681598,Escherichia phage T4
Escherichia phage T2,2060721,Escherichia phage T2
Escherichia phage EcNP1,2576882,Escherichia phage EcNP1
Enterobacteria phage vB_EcoM_IME339,2163889,Enterobacteria phage vB_EcoM_IME339
Shigella phage KNP5,1871710,Shigella phage KNP5
Escherichia phage vB_EcoM-G28,2081604,Escherichia phage vB_EcoM-G28
Escherichia phage ime09,1054834,Escherichia phage ime09
Shigella phage JK45,2591063,Shigella phage JK45
Escherichia phage vB_EcoM_G8,2508179,Escherichia phage vB_EcoM_G8
Escherichia phage HY01,1434323,Escherichia phage HY01
Escherichia phage UFV-AREG1,1837867,Escherichia phage UFV-AREG1
Escherichia phage vB_EcoM-UFV13,1815590,Escherichia phage vB_EcoM-UFV13
Escherichia phage vB_EcoM_G50,2502303,Escherichia phage vB_EcoM_G50
Shigella phage pSs-1,1551641,Shigella phage pSs-1
Escherichia phage ECML-134,1204522,Escherichia phage ECML-134
Shigella phage SH7,1913049,Shigella phage SH7
Salmonella phage pSe_SNUABM_01,2656520,Salmonella phage pSe_SNUABM_01
Shigella phage Sf24,2024309,Shigella phage Sf24
Enterobacteria phage vB_EcoM_IME340,2163890,Enterobacteria phage vB_EcoM_IME340
Escherichia phage PP01,2060720,Escherichia phage PP01
Escherichia phage vB_vPM_PD112,2315580,Escherichia phage vB_vPM_PD112
Escherichia phage vB_EcoM_F1,2750846,Escherichia phage vB_EcoM_F1
Serratia phage PhiZZ30,2716729,Serratia phage PhiZZ30
Escherichia phage EC121,2025815,Escherichia phage EC121
Escherichia phage PE37,1837875,Escherichia phage PE37
Shigella phage Shfl2,1002725,Shigella phage Shfl2
Escherichia phage RB32,2681602,Escherichia phage RB32
Salmonella phage SG1,2025823,Salmonella phage SG1
Citrobacter phage vB_CroM_CrRp10,2079276,Citrobacter phage vB_CroM_CrRp10
Yersinia phage fPS-2,2052930,Yersinia phage fPS-2
Escherichia phage vB_EcoM_112,1495285,Escherichia phage vB_EcoM_112
Escherichia phage HY03,1654926,Escherichia phage HY03
Escherichia phage ECO4,2025816,Escherichia phage ECO4
Escherichia phage slur07,1720500,Escherichia phage slur07
Phage NBEco003,2712972,Phage NBEco003
Escherichia phage KIT03,2218499,Escherichia phage KIT03
Yersinia phage vB_YepM_ZN18,2691085,Yersinia phage vB_YepM_ZN18
Yersinia phage PST,1351740,Yersinia phage PST
Enterobacteria phage T6,10666,Enterobacteria phage T6
Escherichia phage vB_EcoM_IME537,2724310,Escherichia phage vB_EcoM_IME537
Yersinia phage fPS-90,2052932,Yersinia phage fPS-90
Shigella phage SHFML-26,1863009,Shigella phage SHFML-26
Shigella phage SHFML-11,1863008,Shigella phage SHFML-11
