strain_name,substrain_name
coronavirus OC43,Human coronavirus OC43
coronavirus NL63,Human coronavirus NL63
coronavirus HKU1,Human coronavirus HKU1
coronavirus 229E,Human coronavirus 229E
SARS-CoV-2,SARS-CoV-2
Adenovirus,Human adenovirus B1
Adenovirus,Human adenovirus C2
Adenovirus,Human adenovirus E4
Rhino- / Enterovirus,Human enterovirus C104 strain: AK11
Rhino- / Enterovirus,Human enterovirus C109 isolate NICA08-4327
Rhino- / Enterovirus,Human rhinovirus A89
Rhino- / Enterovirus,Human rhinovirus B14
Rhino- / Enterovirus,Human rhinovirus C (strain 024)
Metapneumovirus,Human metapneumovirus (CAN97-83)
Metapneumovirus,Human metapneumovirus
Parainfluenza 4,Human parainfluenza virus 4a
Influenza B,Influenza B virus (B/Brisbane/60/2008)
Influenza B,Influenza B virus (B/Colorado/06/2017)
Influenza B,Influenza B virus (B/Lee/1940)
Influenza B,Influenza B virus (B/Washington/02/2019)
Influenza B,Influenza B virus (B/Wisconsin/01/2010)
Influenza A,Influenza A virus  (A/Zhejiang/DTID-ZJU01/2013(H7N9))
Influenza A,Influenza A virus (A/Hong Kong/1073/99(H9N2))
Influenza A,Influenza A virus (A/Korea/426/1968(H2N2))
Influenza A,Influenza A virus (A/Michigan/45/2015(H1N1))
Influenza A,Influenza A virus (A/New York/392/2004(H3N2))
Influenza A,Influenza A virus (A/Puerto Rico/8/1934(H1N1))
Influenza A,Influenza A virus (A/Texas/50/2012(H3N2))
Influenza A,Influenza A virus (A/goose/Guangdong/1/1996(H5N1))
Parainfluenza 3,Human parainfluenza virus 3
Parainfluenza 2,Human parainfluenza virus 2
Parainfluenza 1,Human parainfluenza virus 1
RSV - A/B,Human Respiratory syncytial virus 9320 (type B)
RSV - A/B,Respiratory syncytial virus (type A)
Bocavirus,Human bocavirus 1 (Primate bocaparvovirus 1 isolate st2)
Bocavirus,Human bocavirus 2c PK isolate PK-5510
Bocavirus,Human bocavirus 3
Bocavirus,Human bocavirus 4 NI strain HBoV4-NI-385
Parechiovirus,Human parechovirus 6
Parechiovirus,Human parechovirus type 1 PicoBank/HPeV1/a
Polyomavirus,KI polyomavirus Stockholm 60
Polyomavirus,WU polyomavirus
Tequatrovirus efftwo,Escherichia phage F2
Tequatrovirus T4,Escherichia phage T4
Tequatrovirus T2,Escherichia phage T2
Tequatrovirus ecnp1,Escherichia phage EcNP1
Tequatrovirus ecomim339,Enterobacteria phage vB_EcoM_IME339
Tequatrovirus knp5,Shigella phage KNP5
Tequatrovirus ecomg28,Escherichia phage vB_EcoM-G28
Tequatrovirus ime09,Escherichia phage ime09
Tequatrovirus jaykay,Shigella phage JK45
Tequatrovirus geeight,Escherichia phage vB_EcoM_G8
Tequatrovirus hy01,Escherichia phage HY01
Tequatrovirus ufvareg1,Escherichia phage UFV-AREG1
Tequatrovirus ecomufv133,Escherichia phage vB_EcoM-UFV13
Tequatrovirus gee50,Escherichia phage vB_EcoM_G50
Tequatrovirus pss1,Shigella phage pSs-1
Tequatrovirus ecml134,Escherichia phage ECML-134
Tequatrovirus sh7,Shigella phage SH7
Tequatrovirus snuabm,Salmonella phage pSe_SNUABM_01
Tequatrovirus sf24,Shigella phage Sf24
Tequatrovirus ecomime340,Enterobacteria phage vB_EcoM_IME340
Tequatrovirus pp01,Escherichia phage PP01
Tequatrovirus pd112,Escherichia phage vB_vPM_PD112
Tequatrovirus effone,Escherichia phage vB_EcoM_F1
Tequatrovirus zeezeethirty,Serratia phage PhiZZ30
Tequatrovirus ec121,Escherichia phage EC121
Tequatrovirus pe37,Escherichia phage PE37
Tequatrovirus shfl2,Shigella phage Shfl2
Tequatrovirus RB32,Escherichia phage RB32
Tequatrovirus sgallinarium,Salmonella phage SG1
Tequatrovirus cromcrrp10,Citrobacter phage vB_CroM_CrRp10
Tequatrovirus fps2,Yersinia phage fPS-2
Tequatrovirus e112,Escherichia phage vB_EcoM_112
Tequatrovirus hy03,Escherichia phage HY03
Tequatrovirus ec04,Escherichia phage ECO4
Tequatrovirus slur07,Escherichia phage slur07
Tequatrovirus nbeco,Phage NBEco003
Tequatrovirus kit03,Escherichia phage KIT03
Tequatrovirus zeen18,Yersinia phage vB_YepM_ZN18
Tequatrovirus pst,Yersinia phage PST
Tequatrovirus T6,Enterobacteria phage T6
Tequatrovirus ime537,Escherichia phage vB_EcoM_IME537
Tequatrovirus fps90,Yersinia phage fPS-90
Tequatrovirus shfml26,Shigella phage SHFML-26
Tequatrovirus shfml11,Shigella phage SHFML-11
Tequatrovirus RB27,Enterobacteria phage RB27
Tequatrovirus mlf4,Escherichia phage MLF4
Tequatrovirus RB14,Escherichia phage RB14
Tequatrovirus ozark,Escherichia phage vB_EcoM_Ozark
Tequatrovirus slur02,Escherichia phage slur02
Tequatrovirus slur02,Escherichia phage slur04
Tequatrovirus lutter,Escherichia phage vB_EcoM_Lutter
Tequatrovirus ecomnbg2,Escherichia phage vB_EcoM_NBG2
Tequatrovirus RB3,Escherichia phage RB3
Tequatrovirus deeone,Yersinia phage phiD1
Tequatrovirus RB18,Enterobacteria phage RB18
Tequatrovirus sf21,Shigella phage Sf21
Tequatrovirus sf23,Shigella phage Sf23
Tequatrovirus oe5505,Escherichia phage vB_EcoM_OE5505
Tequatrovirus gee4507,Escherichia phage vB_EcoM_G4507
Tequatrovirus teqskov,Escherichia phage teqskov
Tequatrovirus kha5h,Enterobacteria phage Kha5h
Tequatrovirus gizh,Enterobacteria phage GiZh
Tequatrovirus ecomdalca,Escherichia phage vB_EcoM_DalCa
Tequatrovirus gee4498,Escherichia phage vB_EcoM_G4498
Tequatrovirus zeezee23,Citrobacter phage PhiZZ23
Tequatrovirus slur03,Escherichia phage slur03
Tequatrovirus slur03,Escherichia phage slur14
Tequatrovirus teqhad,Escherichia phage teqhad
Tequatrovirus cm8,Shigella phage CM8
Tequatrovirus kaw,Escherichia phage vB_EcoM_KAW1E185
Tequatrovirus sf22,Shigella phage Sf22
Tequatrovirus fps65,Yersinia phage fPS-65
Tequatrovirus SHBML501,Shigella phage SHBML-50-1
Tequatrovirus c40,Escherichia phage vB_EcoM_ACG-C40
Tequatrovirus zeezeesix,Citrobacter phage PhiZZ6
Tequatrovirus aplgate,Enterobacteria phage Aplg8
Tequatrovirus yueel1,Escherichia phage YUEEL01
Tequatrovirus vtec,Escherichia phage wV7
Tequatrovirus ar1,Escherichia phage AR1
Tequatrovirus pyps2t,Yersinia phage PYPS2T
Tequatrovirus teqdroes,Escherichia phage teqdroes
Tequatrovirus gee9062,Escherichia phage vB_EcoM_G9062
Tequatrovirus ecombl75,Escherichia phage vB_EcoM-fFiEco06
Tequatrovirus RB51,Enterobacteria phage RB51
Dhakavirus vr5,Escherichia phage vb_EcoM-VR5
Dhakavirus anyang,Escherichia phage AnYang
Dhakavirus ecom005,Escherichia phage vB_EcoM_005
